ytid_V,Comments,Emotion,aspect_version,caption_version,shorth_aspect,short_caption,aspect_list,caption
-5xOcMJpTUk_3,Not clearly a male voice,"Exciting, energetic",FALSE,TRUE,x,x,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-5xOcMJpTUk_4,,"Exciting, energetic",FALSE,TRUE,x,x,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-88me9bBzrk_1,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,TRUE,FALSE,,,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-88me9bBzrk_2,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,TRUE,FALSE,,,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-88me9bBzrk_3,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,FALSE,TRUE,,,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-88me9bBzrk_4,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.","Content, epic",FALSE,TRUE,,,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-ByoSbgzr4M_1,"Does not follow ""instrumental"" text command.","Exciting, energetic",TRUE,FALSE,,x,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-ByoSbgzr4M_2,"Does not follow ""instrumental"" text command.","Exciting, energetic",TRUE,FALSE,,x,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-ByoSbgzr4M_3,"Does not follow ""instrumental"" text command.","Exciting, energetic",FALSE,TRUE,,x,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-ByoSbgzr4M_4,"Does not follow ""instrumental"" text command.","Exciting, energetic",FALSE,TRUE,,x,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-FFx68qSAuY_1,,"Exciting, energetic, epic",TRUE,FALSE,,x,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-FFx68qSAuY_2,,"Exciting, agressive, epic",TRUE,FALSE,,x,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-FFx68qSAuY_3,,"Exciting, energetic",FALSE,TRUE,,x,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-FFx68qSAuY_4,,"Exciting, energetic",FALSE,TRUE,,x,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-M-6VinyMiY_1,Not low quality,"Exciting, epic",TRUE,FALSE,,x,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-M-6VinyMiY_2,Not low quality,"Sad, Exciting, ",TRUE,FALSE,,x,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-M-6VinyMiY_3,Not low quality,"Exciting, energetic",FALSE,TRUE,,x,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-M-6VinyMiY_4,Not low quality,"Sad, energetic",FALSE,TRUE,,x,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-Q9MTRXS4bE_1,"Does not follow ""instrumental"" text command.",Happy,TRUE,FALSE,x,x,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-Q9MTRXS4bE_2,"Does not follow ""instrumental"" text command.",Happy,TRUE,FALSE,x,x,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-Q9MTRXS4bE_3,"Does not follow ""instrumental"" text command.",Surprise,FALSE,TRUE,x,x,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-Q9MTRXS4bE_4,"Does not follow ""instrumental"" text command.","Surprise, exciting",FALSE,TRUE,x,x,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-T4GeTHKtJQ_1,,Exciting,TRUE,FALSE,,x,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-T4GeTHKtJQ_2,,"Exciting, energetic",TRUE,FALSE,,x,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-T4GeTHKtJQ_3,,"Exciting, energetic",FALSE,TRUE,,x,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-T4GeTHKtJQ_4,,"Exciting, energetic",FALSE,TRUE,,x,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-Vo4CAMX26U_1,"Does not follow ""low quality"" text command or nature sounds.","Exciting, Epic, energetic",TRUE,FALSE,,x,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-Vo4CAMX26U_2,"Does not follow ""low quality"" text command or nature sounds.","Exciting, Epic, energetic",TRUE,FALSE,,x,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-Vo4CAMX26U_3,,"Calm, disgust",FALSE,TRUE,,x,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-Vo4CAMX26U_4,"Does not follow ""low quality"" text command or nature sounds.","Calm, chill",FALSE,TRUE,,x,"low quality, low windpipe vocal sounds, nature atmosphere sound effect, birds chirping, water flowing sound effect, harsh, loud","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, "
-YIT4HBM__g_1,No noise or people talking in backgorund,"Calm, relaxing",TRUE,FALSE,x,x,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-YIT4HBM__g_2,No noise or people talking in backgorund. Not clearly a female singer,"Calm, relaxing",TRUE,FALSE,x,x,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-YIT4HBM__g_3,No noise or people talking in backgorund,Sad,FALSE,TRUE,x,x,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-YIT4HBM__g_4,No noise or people talking in backgorund,Calm,FALSE,TRUE,x,x,"female singer, high notes, choral harmony, ethereal, vocal vibrations, ethereal, soprano, alto, whirring sound, seconds, melodic, angelic, celestial, no instruments, sound of chatter, rustling,","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking."
-cQ-jUTEgck_1,,Exciting,TRUE,FALSE,,x,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-cQ-jUTEgck_2,,Exciting,TRUE,FALSE,,x,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-cQ-jUTEgck_3,Not clearly a live performance,Exciting,FALSE,TRUE,,x,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-cQ-jUTEgck_4,Not clearly a live performance,Exciting,FALSE,TRUE,,x,"southern rock, blues rock, live performance, electric guitar, guitar solo, keyboard, bass guitar, acoustic drums, groovy",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drum
-fxh7jAJR8U_1,,"Sad, melancholic, energetic",TRUE,FALSE,x,x,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-fxh7jAJR8U_2,,"Sad, melancholic, energetic",TRUE,FALSE,x,x,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-fxh7jAJR8U_3,,"Happy, Energetic, ",FALSE,TRUE,x,x,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-fxh7jAJR8U_4,,"Happy, ",FALSE,TRUE,x,x,"boy band, male singers, vocal harmony, retro pop hits, singing parts, medium tempo, keyboard accompaniment, steady drumming rhythm, steady bass line, tambourine percussions, love song, romantic, ","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. "
-kpR93atgd8_1,,"Happy, exciting",TRUE,FALSE,,x,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-kpR93atgd8_2,,"Happy, exciting",TRUE,FALSE,,x,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-kpR93atgd8_3,,"Happy, exciting",FALSE,TRUE,,x,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-kpR93atgd8_4,,"Happy, exciting",FALSE,TRUE,,x,"ska, saxophone, e-guitar, acoustic drums, percussion, keys, e-bass, fast tempo, uplifting energy",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. 
-nlkWWphiaM_1, One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,"Sad, melancholic",TRUE,FALSE,,x,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-nlkWWphiaM_2,Not clearly male voices. Nice vibrato on the voice. One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,"Sad, melancholic",TRUE,FALSE,,x,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-nlkWWphiaM_3,Not clearly male voices. One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,"Sad, melancholic",FALSE,TRUE,,x,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-nlkWWphiaM_4,Not clearly male voices. One of the few that could be considered a live version due to simplicity. No clear noise as opposed to text commmand.,"Sad, melancholic",FALSE,TRUE,,x,"low quality, live performance, fruity male vocal, accordion melody, acoustic rhythm guitar, shimmering bells, emotional, hopeful, mono, noisy","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional"
-r7iz-9v9bA_1,,Content,TRUE,FALSE,,x,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-r7iz-9v9bA_2,,Content,TRUE,FALSE,,x,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-r7iz-9v9bA_3,Follows very well the no-lyrics only vocables prompt ,Content,FALSE,TRUE,,x,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-r7iz-9v9bA_4,The violins do not follow the eight note pattern command and instead do a sixteenth note pattern for the most part. Does not have voice,Content,FALSE,TRUE,,x,"opera song, symphonic, female voice, string section, bass, muted guitar, fantasy song, slow tempo",This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. 
-tmY1GEH3_Y_1,Not clearly a male vocal as specified.,Happy,TRUE,FALSE,,x,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-tmY1GEH3_Y_2,Not clearly a male vocal as specified.,Happy,TRUE,FALSE,,x,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-tmY1GEH3_Y_3,Not clearly a male vocal as specified.,Happy,FALSE,TRUE,,x,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-tmY1GEH3_Y_4,Not clearly a male vocal as specified.,Happy,FALSE,TRUE,,x,"low quality, pop, echoing male vocal, punchy snare, shimmering hi hats, punchy kick, metallic percussions, synth lead melody, synth pad chords, groovy synth bass, energetic, exciting, nostalgic","The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad"
-w8maIWtnUk_1,a lot of instruments not specified are added fllowing the general sugested style.,"Exciting, energetic",TRUE,FALSE,,x,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
-w8maIWtnUk_2,a lot of instruments not specified are added fllowing the general sugested style.,"Exciting, slightly sad",TRUE,FALSE,,x,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
-w8maIWtnUk_3,a lot of instruments not specified are added fllowing the general sugested style.,"Happy, Exciting, energetic",FALSE,TRUE,,x,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
-w8maIWtnUk_4,Best version that follows the prompt. Starts like if another song was ending for a second or two,Calm,FALSE,TRUE,,x,"instrumental, jam, electric guitar, clean sound, effect pedal, echo, dreamy, trippy",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling.
00M9FhCet6s_1,Not clearly a male voice,Happy,TRUE,FALSE,,x,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
00M9FhCet6s_2,,Happy,TRUE,FALSE,,x,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
00M9FhCet6s_3,Not clearly a male voice,"Happy, cheerful",FALSE,TRUE,,x,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
00M9FhCet6s_4,,"Happy, cheerful",FALSE,TRUE,,x,"""childrens song"", male voice, guitar, percussion, bass, happy song, keyboard, backing voices, dance song for children, moderate tempo",This children's song features a male voice singing the main melody. There are other voices singing backing vocals. This is accompanied by percussion playing a simple beat. A guitar strums the chords
03z0rpIkm5g_1,Not low quality,"Happy, Exciting ",TRUE,FALSE,,x,"low quality, reggae/dub, mono, noisy, flat male vocal, punchy 808 bass, punchy snare, shimmering hi hats, groovy piano chords, energetic, addictive","The low quality recording features a reggae/dub song that consists of a flat male vocal singing over punchy 808 bass, punchy snare, shimmering hi hats and groovy piano chords. It sounds energetic,"
03z0rpIkm5g_2,Not low quality,"Happy, Exciting ",TRUE,FALSE,,x,"low quality, reggae/dub, mono, noisy, flat male vocal, punchy 808 bass, punchy snare, shimmering hi hats, groovy piano chords, energetic, addictive","The low quality recording features a reggae/dub song that consists of a flat male vocal singing over punchy 808 bass, punchy snare, shimmering hi hats and groovy piano chords. It sounds energetic,"
03z0rpIkm5g_3,Not low quality,"Happy, Exciting ",FALSE,TRUE,,x,"low quality, reggae/dub, mono, noisy, flat male vocal, punchy 808 bass, punchy snare, shimmering hi hats, groovy piano chords, energetic, addictive","The low quality recording features a reggae/dub song that consists of a flat male vocal singing over punchy 808 bass, punchy snare, shimmering hi hats and groovy piano chords. It sounds energetic,"
03z0rpIkm5g_4,Not low quality,"Happy, chill",FALSE,TRUE,,x,"low quality, reggae/dub, mono, noisy, flat male vocal, punchy 808 bass, punchy snare, shimmering hi hats, groovy piano chords, energetic, addictive","The low quality recording features a reggae/dub song that consists of a flat male vocal singing over punchy 808 bass, punchy snare, shimmering hi hats and groovy piano chords. It sounds energetic,"
07-3grCQ8EU_1,"Nothing polish in it. More like ""irish flok"".","Happy, melancholic",TRUE,FALSE,,x,"polish folk music, wedding music, instrumental, polish fiddle, mandolin, baraban, festive, joyful, folk dance",This is a Polish folk music piece meant to be played at weddings. This is an instrumental piece. The melody is played by a Polish fiddle
